x,Curve1
2.097,-3.1798
2.666,-5.1819
5.603,-1.8958
6.086,-3.0314
9.765,0.9418
9.958,0.3143
11.602,-1.0606
11.893,-0.6723
15.078,-2.7348
15.537,-3.2429
16.028,-2.5259
16.506,-3.7212
17.372,-3.5123
18.689,-4.7676
19.559,-5.3953
20.175,-4.26
20.535,-4.9175
20.773,-4.2004
21.589,-5.3958
26.034,-3.126
26.77,-5.158
29.45,-1.9018
30.096,-3.0971
33.89,0.3083
33.95,0.9358
35.622,-1.0368
36.163,-0.6783
39.095,-2.7408
39.973,-3.2789
40.395,-2.4125
40.601,-3.787
41.388,-3.5183
42.086,-4.1758
42.39,-4.5344
42.947,-4.8932
43.666,-5.3415
44.192,-4.266
44.629,-4.1167
44.805,-4.9235
45.502,-4.7145
45.763,-5.5214
