x,Curve1
0.0558,0.3919
2.0423,-0.0338
4.0714,0.1554
6.0213,-0.3176
8.0514,-0.0338
10.0428,0.0135
12.0264,-0.6959
14.0037,-2.0203
15.9934,-2.1385
17.9912,-1.4764
20.0695,-0.0338
22.0673,0.6284
24.0558,0.3919
