x,Curve1
0.672,-5.7279
1.077,-4.5637
1.993,-3.6646
3.799,-0.2579
4.455,1.0269
4.696,1.773
6.413,0.2642
6.503,-0.0927
8.057,3.1933
8.33,2.0034
9.697,1.1776
10.057,-0.1606
12.173,-0.2372
12.592,0.0036
13.467,-1.7784
14.384,-0.9388
14.596,-3.5886
14.628,-0.3416
14.972,-0.697
15.411,-1.7071
16.015,-2.4184
16.434,-2.2073
17.02,-1.7868
17.198,-2.3517
17.888,-3.1815
17.965,-2.7045
18.485,-3.446
18.669,-4.3981
19.145,-2.4293
19.153,-2.9356
19.586,-3.5288
20.104,-4.2107
20.266,-3.7629
20.334,-2.72
20.423,-2.9875
20.863,-4.0572
22.133,-4.1389
22.153,-5.3601
22.293,-3.5422
24.611,-5.6431
25.182,-4.3886
26.183,-3.489
27.821,-0.1131
28.646,1.1727
28.803,1.9183
29.416,0.6114
30.518,0.4691
30.524,0.0819
32.079,3.3381
32.692,2.0609
33.909,0.0427
35.938,0.1145
36.697,0.2383
37.657,-1.6028
38.481,-0.2276
38.49,-0.7935
38.531,-3.355
38.824,-0.5234
39.518,-1.5916
40.457,-2.1221
40.704,-1.7036
41.222,-2.326
41.294,-1.5809
41.91,-3.0665
42.498,-2.7651
42.507,-3.331
42.605,-4.1645
43.421,-2.3127
43.607,-3.3839
43.871,-3.9781
44.203,-3.6186
44.465,-4.0936
44.525,-2.5742
44.53,-2.872
45.656,-4.5333
46.09,-5.2158
46.238,-3.8744
46.421,-4.767
46.483,-3.3368
