x,Curve1
0.697,1.2141
0.87,-1.0828
3.975,0.7857
5.663,0.777
6.619,1.5457
7.198,1.2071
9.763,-0.3018
10.458,0.2745
11.362,-0.4377
11.473,0.3197
11.912,0.798
12.97,-0.3216
13.797,-0.8144
14.096,0.481
14.831,-0.2336
15.804,1.0393
17.018,-0.4561
17.455,-0.0408
18.352,-0.9421
20.433,-1.796
20.902,-2.8606
20.92,-2.3564
22.374,-1.8329
22.528,-2.2402
24.859,-0.7916
24.86,1.6336
27.963,1.0454
30.16,1.1065
30.694,1.8695
31.275,1.5939
32.008,0.8164
32.417,0.4439
33.669,0.0513
34.617,0.5995
35.44,-0.0194
35.467,0.7369
36.074,1.2175
36.876,-4e-05
37.573,0.6077
37.876,-0.3645
38.739,0.151
39.877,1.3002
41.526,0.1885
42.596,-0.616
44.337,-1.506
44.723,-2.5401
45.079,-2.0314
46.434,-1.9187
47.057,-0.9969
