x,Curve1
2.936,-3.1569
4.199,-1.8157
5.006,-1.298
5.036,1.1744
5.722,0.8681
6.005,0.2878
6.031,1.3255
6.693,1.4467
7.714,2.6356
7.964,1.1396
10.315,0.9836
10.456,1.4412
10.695,-1.3368
11.014,1.9287
11.093,0.5246
11.825,0.8898
12.195,0.2483
12.895,-0.3022
13.524,-4.088
13.68,-0.8833
14.893,-1.6481
15.083,-2.0452
16.584,-3.482
16.844,-3.6349
16.969,-2.8721
17.767,-3.6973
18.39,-2.8741
19.107,-3.7298
19.993,-4.6163
20.954,-3.8546
21.03,-5.2282
21.612,-5.168
22.014,-3.3678
22.725,-4.1319
23.048,-3.9187
23.517,-3.3394
24.038,-3.6759
26.596,-3.0692
27.016,-1.6047
28.279,-1.7591
28.752,-1.2409
28.788,1.1093
29.642,0.8028
29.754,0.2838
29.942,1.4129
31.634,2.5703
32.048,1.1351
33.985,0.8881
34.376,1.3759
34.697,-1.3717
34.853,1.8331
35.492,0.8554
35.943,0.2748
36.728,-0.3063
37.524,-4.0923
37.598,-0.918
38.897,-1.7135
40.672,-3.5475
40.725,-2.9982
42.314,-3.0005
43.029,-3.8256
43.74,-4.5897
43.983,-4.4375
44.623,-3.9195
44.95,-5.2935
45.614,-5.2029
45.85,-3.4329
46.316,-4.2883
46.8,-3.9837
46.812,-4.1974
47.352,-3.3741
47.958,-3.7412
