x,Curve1
1.006,-4.3094
2.107,-0.8963
3.957,-0.8118
4.548,0.2858
5.051,-0.3392
5.304,-0.0428
5.392,1.2639
6.568,1.0828
6.736,0.7853
7.997,0.901
8.672,1.6122
9.342,0.7789
9.593,0.2436
9.93,0.4804
11.356,-0.6816
11.611,0.1198
11.947,0.3566
12.449,-0.6249
12.87,-0.3289
13.961,-1.1336
14.638,0.5578
14.97,-1.1063
15.057,-0.1561
15.563,0.3773
16.317,-0.4859
17.828,-1.5887
18.246,-2.4511
18.499,-2.0656
19.087,-2.3047
19.17,-2.9583
20.011,-2.8713
20.093,-3.6141
20.43,-3.1991
20.848,-4.0318
20.936,-2.5766
21.267,-4.5675
21.688,-4.3903
22.111,-3.4706
22.53,-4.036
22.786,-2.3435
22.865,-4.3635
23.371,-3.8598
25.304,-4.3399
26.153,-0.8964
27.835,-0.8412
28.51,0.1968
28.849,1.2949
28.929,-0.3686
29.269,1.2345
29.602,-0.0436
30.446,0.9642
30.949,0.6066
31.875,0.9013
32.885,1.4929
33.304,0.7196
33.386,0.1253
33.975,0.3318
35.234,-0.711
35.741,0.1789
36.411,-0.6545
36.749,-0.1801
37.337,-0.3003
38.007,-1.2822
38.516,0.5284
38.935,-0.2152
39.184,-1.196
39.441,0.4073
40.111,-0.5151
42.209,-2.1243
42.544,-2.3924
43.383,-3.0777
44.138,-3.6736
44.73,-2.4869
44.81,-4.0911
45.397,-4.6866
45.652,-3.5585
45.818,-4.3312
46.664,-2.4026
46.827,-4.4822
