x,Curve1
-0.228,-0.1184
0.927,-1.8013
1.064,-0.9051
1.343,-1.6421
1.915,-3.5171
2.193,0.5582
2.586,-1.0412
2.877,2.664
3.328,-0.5697
3.338,-0.8472
3.718,0.3295
5.001,2.1957
5.449,1.4298
6.207,1.4697
6.367,1.6875
7.272,2.3153
8.182,0.4135
8.486,1.3734
9.366,0.3041
9.548,-0.0947
10.075,1.7008
10.212,0.2217
10.553,0.1023
11.037,-1.6811
11.393,0.174
12.229,0.369
12.601,-0.6137
12.909,0.2229
14.506,0.3344
15.609,0.1316
15.877,-0.2971
16.204,-0.0156
17.149,-0.5288
17.159,-0.8063
17.682,-1.2936
17.832,-0.7674
18.062,-2.523
18.44,-1.2846
18.879,-1.773
19.494,-2.506
19.991,-2.2533
20.418,-2.4025
20.722,-3.8487
21.286,-3.1325
21.692,-0.2896
22.122,-0.5313
22.82,-1.2017
22.965,-2.9275
23.371,-2.4908
23.719,-2.7951
23.95,0.2308
25.074,-0.5888
25.107,-1.5138
25.352,-1.295
25.756,-3.2028
26.377,0.7223
26.596,-0.7249
27.142,2.9217
27.427,-0.3757
27.895,0.6787
29.349,2.4852
29.463,1.6536
30.55,1.8825
31.368,2.6017
32.193,0.6989
32.754,1.5385
33.479,0.0973
33.716,0.532
34.256,1.9574
34.392,0.4783
34.966,-1.4583
35.152,0.4565
36.322,0.7172
36.697,-0.358
37.007,0.4168
38.6,0.6517
39.704,0.4181
39.721,-0.0445
40.3,0.2709
41.248,-0.3348
41.866,-1.1295
41.929,-0.5426
42.241,-2.2047
42.535,-0.9981
42.975,-1.5173
43.336,-2.1917
44.003,-1.9987
44.429,-2.117
44.651,-3.6259
45.383,-2.8769
45.873,-0.033
46.304,-0.3055
46.976,-2.642
46.996,-0.8217
47.297,-2.1755
47.649,-2.6032
